workerid,proliferate.condition,adj,adj_tr,label,object,response,rt,slide_number_in_experiment,trial_type,error
924,condition1,short,kısa,pencil_short_black,pencil,[0.71],1383,36,,
924,condition1,blue,mavi,pencil_long_blue,pencil,[0.12],2000,37,,
924,condition1,glossy,parlak,nails_black_glossy,nails,[0.72],1584,38,,
924,condition1,black,siyah,nails_black_glossy,nails,[0.03],3936,39,,
924,condition1,plastic,plastik,bottle_plastic_big,bottle,[0.04],262144,40,,
924,condition1,wooden,tahta,spoon_wooden_clean,spoon,[0],1908,41,,
924,condition1,clean,temiz,spoon_metal_clean,spoon,[0.9],2272,42,,
924,condition1,closed,kapalı,box_closed_cardboard,box,[0.46],4311,43,,
924,condition1,cardboard,karton,box_closed_cardboard,box,[0.02],3921,44,,
924,condition1,dry,kuru,shorts_dry_green,shorts,[0.5],2984,45,,
924,condition1,skinny,zayıf,woman2_happy_skinny,woman,[0.66],2488,46,,
924,condition1,red,kırmızı,frog_spotted_red,frog,[0.03],5280,47,,
924,condition1,brown,kahverengi,hair_curly_brown,hair,[0.02],3456,48,,
899,condition1,,,,beyaz,Beyaz,0,1,bot_check,
899,condition1,wet,ıslak,shorts_wet_green,shorts,[0.7],16593,3,,
899,condition1,sad,mutsuz,woman_old_sad,woman,[0.97],4805,4,,
899,condition1,glasses-wearing,gözlüklü,man2_bearded_glassed,man,[0],6993,5,,
899,condition1,bearded,sakallı,man_old_bearded,man,[0.23],4544,6,,
899,condition1,high,yüksek,table_metal_high,table,[0.69],10710,7,,
899,condition1,plastic,plastik,bottle_plastic_big,bottle,[0],3379,8,,
899,condition1,wooden,tahta,spoon_wooden_clean,spoon,[0.05],2632,9,,
899,condition1,short,kısa,pencil_short_black,pencil,[0.68],3420,10,,
899,condition1,skinny,zayıf,woman2_happy_skinny,woman,[0.77],2813,11,,
899,condition1,metal,metal,spoon_metal_clean,spoon,[0],4191,12,,
899,condition1,black,siyah,nails_black_glossy,nails,[0.05],4132,13,,
899,condition1,dry,kuru,shorts_dry_green,shorts,[0.6],5146,14,,
899,condition1,brown,kahverengi,hair_curly_brown,hair,[0.12],4984,15,,
899,condition1,hat-wearing,şapkalı,man2_bearded_hatted,man,[0],4030,16,,
899,condition1,triangular,üçgen,earring_big_triangular,earring,[0],2731,17,,
899,condition1,clean-shaven,sakalsız,man_old_cleanshaven,man,[0.15],3565,18,,
899,condition1,low,alçak,table_metal_low,table,[0.73],2964,19,,
899,condition1,open,açık,box_open_cardboard,box,[0.67],2926,20,,
899,condition1,curly,kıvırcık,hair_curly_blonde,hair,[0.2],4526,21,,
899,condition1,glass,cam,bottle_glass_big,bottle,[0],2468,22,,
899,condition1,dirty,kirli,spoon_metal_dirty,spoon,[0.6],6608,23,,
899,condition1,small,küçük,bottle_glass_small,bottle,[0.67],4604,24,,
899,condition1,clean,temiz,spoon_metal_clean,spoon,[0.63],3080,25,,
899,condition1,closed,kapalı,box_closed_cardboard,box,[0.54],2630,26,,
899,condition1,matte,mat,nails_black_matte,nails,[0.15],2918,27,,
899,condition1,striped,çizgili,frog_striped_green,frog,[0],2184,28,,
899,condition1,happy,mutlu,woman_old_happy,woman,[1],3526,29,,
899,condition1,glossy,parlak,nails_black_glossy,nails,[0.24],4488,30,,
899,condition1,rectangular,dikdörtgen,picture_bw_rectangular,picture,[0.06],3032,31,,
899,condition1,red,kırmızı,frog_spotted_red,frog,[0.01],2343,32,,
899,condition1,straight,düz,hair_straight_blond,hair,[0.21],3428,33,,
899,condition1,young,genç,man_young_bearded,man,[0.29],3961,34,,
899,condition1,blue,mavi,pencil_long_blue,pencil,[0.23],3813,35,,
899,condition1,green,yeşil,frog_spotted_green,frog,[0.17],2227,36,,
899,condition1,spotted,benekli,frog_spotted_green,frog,[0.06],2421,37,,
899,condition1,big,büyük,bottle_glass_big,bottle,[0.33],6351,38,,
899,condition1,blond,sarı,hair_curly_blonde,hair,[0.15],5345,39,,
899,condition1,black and white,siyah beyaz,picture_bw_rectangular,picture,[0.04],6422,40,,
899,condition1,old,yaşlı,man_old_bearded,man,[0.35],3976,41,,
899,condition1,cardboard,karton,box_closed_cardboard,box,[0.09],2468,42,,
899,condition1,square,kare,picture_bw_square,picture,[0.05],3172,43,,
899,condition1,long,uzun,pencil_long_black,pencil,[0.65],4032,44,,
899,condition1,round,yuvarlak,earring_big_round,earring,[0.03],3820,45,,
899,condition1,mustache-touting,bıyıklı,man2_mustached_glassed,man,[0.08],3234,46,,
899,condition1,colored,renkli,picture_colored_rectangular,picture,[0.14],5686,47,,
899,condition1,fat,şişman,woman2_happy_fat,woman,[0.62],5971,48,,
900,condition1,,,,beyaz,beyaz,0,1,bot_check,
900,condition1,big,büyük,bottle_glass_big,bottle,[0],24613,3,,
900,condition1,blue,mavi,pencil_long_blue,pencil,[0.32],4966,4,,
900,condition1,green,yeşil,frog_spotted_green,frog,[0.32],2377,5,,
900,condition1,brown,kahverengi,hair_curly_brown,hair,[0.3],1486,6,,
900,condition1,small,küçük,bottle_glass_small,bottle,[0],2368,7,,
900,condition1,dry,kuru,shorts_dry_green,shorts,[0.39],4416,8,,
900,condition1,short,kısa,pencil_short_black,pencil,[0.29],6289,9,,
900,condition1,long,uzun,pencil_long_black,pencil,[0.17],1544,10,,
900,condition1,hat-wearing,şapkalı,man2_bearded_hatted,man,[0],2400,11,,
900,condition1,rectangular,dikdörtgen,picture_bw_rectangular,picture,[0],1598,12,,
900,condition1,wooden,tahta,spoon_wooden_clean,spoon,[0],3352,13,,
900,condition1,round,yuvarlak,earring_big_round,earring,[0],1512,14,,
900,condition1,colored,renkli,picture_colored_rectangular,picture,[0.51],3328,15,,
900,condition1,cardboard,karton,box_closed_cardboard,box,[0],2016,16,,
900,condition1,happy,mutlu,woman_old_happy,woman,[1],3521,17,,
900,condition1,mustache-touting,bıyıklı,man2_mustached_glassed,man,[0],1390,18,,
900,condition1,striped,çizgili,frog_striped_green,frog,[0],3224,19,,
900,condition1,clean-shaven,sakalsız,man_old_cleanshaven,man,[0.13],3082,20,,
900,condition1,clean,temiz,spoon_metal_clean,spoon,[0.66],2894,21,,
900,condition1,young,genç,man_young_bearded,man,[0.36],2608,22,,
900,condition1,glass,cam,bottle_glass_big,bottle,[0],1512,23,,
900,condition1,wet,ıslak,shorts_wet_green,shorts,[0.2],4329,24,,
900,condition1,old,yaşlı,man_old_bearded,man,[0.21],2393,25,,
900,condition1,square,kare,picture_bw_square,picture,[0],2638,26,,
900,condition1,black,siyah,nails_black_glossy,nails,[0],4321,27,,
900,condition1,skinny,zayıf,woman2_happy_skinny,woman,[0.75],4087,28,,
900,condition1,curly,kıvırcık,hair_curly_blonde,hair,[0.25],2576,29,,
900,condition1,plastic,plastik,bottle_plastic_big,bottle,[0],1495,30,,
900,condition1,straight,düz,hair_straight_blond,hair,[0],2328,31,,
900,condition1,fat,şişman,woman2_happy_fat,woman,[0.7],2184,32,,
900,condition1,bearded,sakallı,man_old_bearded,man,[0.34],6993,33,,
900,condition1,triangular,üçgen,earring_big_triangular,earring,[0],1352,34,,
900,condition1,red,kırmızı,frog_spotted_red,frog,[0.28],2118,35,,
900,condition1,glossy,parlak,nails_black_glossy,nails,[0.72],3176,36,,
900,condition1,black and white,siyah beyaz,picture_bw_rectangular,picture,[0],1875,37,,
900,condition1,blond,sarı,hair_curly_blonde,hair,[0.29],2223,38,,
900,condition1,sad,mutsuz,woman_old_sad,woman,[1],1792,39,,
900,condition1,spotted,benekli,frog_spotted_green,frog,[0.17],1710,40,,
900,condition1,open,açık,box_open_cardboard,box,[0.19],2359,41,,
900,condition1,matte,mat,nails_black_matte,nails,[0.32],1721,42,,
900,condition1,glasses-wearing,gözlüklü,man2_bearded_glassed,man,[0],1878,43,,
900,condition1,dirty,kirli,spoon_metal_dirty,spoon,[0.75],1633,44,,
