workerid,proliferate.condition,adj,label,object,response,rt,slide_number_in_experiment,utterance,error
109,condition1,young,man_young_bearded,man,[0.15],3168,24,,
109,condition1,triangular,earring_big_triangular,earring,[0.12],2344,25,,
109,condition1,small,bottle_glass_small,bottle,[0.9],2544,26,,
109,condition1,high,table_metal_high,table,[0.86],3720,27,,
109,condition1,glossy,nails_black_glossy,nails,[0.06],2344,28,,
109,condition1,square,picture_bw_square,picture,[0.11],3344,29,,
109,condition1,black,nails_black_glossy,nails,[0.08],2344,30,,
109,condition1,skinny,woman2_happy_skinny,woman,[0.89],2608,31,,
109,condition1,mustache-touting,man2_mustached_glassed,man,[0.07],4240,32,,
109,condition1,rectangular,picture_bw_rectangular,picture,[0.08],2096,33,,
109,condition1,brown,hair_curly_brown,hair,[0.04],1896,34,,
109,condition1,curly,hair_curly_blonde,hair,[0.09],1688,35,,
109,condition1,clean,spoon_metal_clean,spoon,[0.07],1864,36,,
109,condition1,straight,hair_straight_blond,hair,[0.08],1576,37,,
109,condition1,matte,nails_black_matte,nails,[0.08],1656,38,,
109,condition1,old,man_old_bearded,man,[0.09],2024,39,,
109,condition1,hat-wearing,man2_bearded_hatted,man,[0.08],2352,40,,
109,condition1,happy,woman_old_happy,woman,[0.82],2648,41,,
109,condition1,metal,spoon_metal_clean,spoon,[0.09],1784,42,,
109,condition1,blond,hair_curly_blonde,hair,[0.09],1576,43,,
109,condition1,blue,pencil_long_blue,pencil,[0.07],2664,44,,
109,condition1,clean-shaven,man_old_cleanshaven,man,[0.09],2448,45,,
109,condition1,sad,woman_old_sad,woman,[0.86],3904,46,,
109,condition1,cardboard,box_closed_cardboard,box,[0.06],1696,47,,
109,condition1,glasses-wearing,man2_bearded_glassed,man,[0.07],2240,48,,
104,condition1,,,Linda,Linda,0,1,bot_check,
104,condition1,black,nails_black_glossy,nails,[0.38],11731,3,,
104,condition1,glass,bottle_glass_big,bottle,[0],35799,4,,
104,condition1,open,box_open_cardboard,box,[0.1],6206,5,,
104,condition1,cardboard,box_closed_cardboard,box,[0.33],5527,6,,
104,condition1,clean,spoon_metal_clean,spoon,[0.1],6385,7,,
104,condition1,happy,woman_old_happy,woman,[0.76],3406,8,,
104,condition1,glasses-wearing,man2_bearded_glassed,man,[0],3673,9,,
104,condition1,plastic,bottle_plastic_big,bottle,[0.56],6474,10,,
104,condition1,short,pencil_short_black,pencil,[0.21],5083,11,,
104,condition1,old,man_old_bearded,man,[0.62],5017,12,,
104,condition1,young,man_young_bearded,man,[0.35],4968,13,,
104,condition1,blond,hair_curly_blonde,hair,[0.94],5276,14,,
