workerid,proliferate.condition,adj1,adj2,label,left_end,left_end_tr,object,response,right_end,right_end_tr,rt,slide_number_in_experiment,trial_type,error
966,condition1,mustache-touting,glasses-wearing,man2_mustached_glassed,"""glasses-wearing mustache-touting man""","""gözlüklü bıyıklı adam""",man,[0],"""mustache-touting glasses-wearing man""","""bıyıklı gözlüklü adam""",8031,12,,
966,condition1,colored,square,picture_colored_square,"""square colored picture""","""kare renkli resim""",picture,[0.99],"""colored square picture""","""renkli kare resim""",4481,13,,
966,condition1,metal,dirty,spoon_metal_dirty,"""dirty metal spoon""","""kirli metal kaşık""",spoon,[0.98],"""metal dirty spoon""","""metal kirli kaşık""",4743,14,,
966,condition1,wet,red,shorts_wet_red,"""wet red shorts""","""ıslak kırmızı şort""",shorts,[0.99],"""red wet shorts""","""kırmızı ıslak şort""",4120,15,,
966,condition1,young,clean-shaven,man_young_cleanshaven,"""clean-shaven young man""","""sakalsız genç adam""",man,[0.03],"""young clean-shaven man""","""genç sakalsız adam""",4496,16,,
966,condition1,happy,skinny,woman2_happy_skinny,"""happy skinny woman""","""mutlu zayıf kadın""",woman,[0.99],"""skinny happy woman""","""zayıf mutlu kadın""",5336,17,,
966,condition1,young,sad,woman_young_sad,"""sad young woman""","""mutsuz genç kadın""",woman,[0.08],"""young sad woman""","""genç mutsuz kadın""",13321,18,,
966,condition1,dry,green,shorts_dry_green,"""green dry shorts""","""yeşil kuru şort""",shorts,[0.03],"""dry green shorts""","""kuru yeşil şort""",8687,19,,
966,condition1,metal,clean,spoon_metal_clean,"""metal clean spoon""","""metal temiz kaşık""",spoon,[0.98],"""clean metal spoon""","""temiz metal kaşık""",4488,20,,
966,condition1,old,happy,woman_old_happy,"""old happy woman""","""yaşlı mutlu kadın""",woman,[0.01],"""happy old woman""","""mutlu yaşlı kadın""",6400,21,,
966,condition1,spotted,red,frog_spotted_red,"""spotted red frog""","""benekli kırmızı kurbağa""",frog,[0.98],"""red spotted frog""","""kırmızı benekli kurbağa""",5888,22,,
966,condition1,black,glossy,nails_black_glossy,"""glossy black nails""","""parlak siyah oje""",nails,[0.98],"""black glossy nails""","""siyah parlak oje""",3440,23,,
966,condition1,black and white,rectangular,picture_bw_rectangular,"""rectangular black and white picture""","""dikdörtgen siyah beyaz resim""",picture,[0.02],"""black and white rectangular picture""","""siyah beyaz dikdörtgen resim""",9951,24,,
966,condition1,straight,brown,hair_straight_brown,"""brown straight hair""","""kahverengi düz saç""",hair,[0.03],"""straight brown hair""","""düz kahverengi saç""",66025,25,,
966,condition1,wooden,low,table_wood_low,"""wooden low table""","""tahta alçak masa""",table,[0.98],"""low wooden table""","""alçak tahta masa""",4823,26,,
966,condition1,red,glossy,nails_red_glossy,"""red glossy nails""","""kırmızı parlak oje""",nails,[0.97],"""glossy red nails""","""parlak kırmızı oje""",2961,27,,
966,condition1,wooden,high,table_wood_high,"""high wooden table""","""yüksek tahta masa""",table,[0.02],"""wooden high table""","""tahta yüksek masa""",4384,28,,
966,condition1,sad,skinny,woman2_sad_skinny,"""sad skinny woman""","""mutsuz zayıf kadın""",woman,[0.97],"""skinny sad woman""","""zayıf mutsuz kadın""",6639,29,,
966,condition1,curly,brown,hair_curly_brown,"""brown curly hair""","""kahverengi kıvırcık saç""",hair,[0.99],"""curly brown hair""","""kıvırcık kahverengi saç""",5025,30,,
966,condition1,small,triangular,earring_small_triangular,"""small triangular earring""","""küçük üçgen küpe""",earring,[0.04],"""triangular small earring""","""üçgen küçük küpe""",7559,31,,
966,condition1,wet,green,shorts_wet_green,"""wet green shorts""","""ıslak yeşil şort""",shorts,[0.98],"""green wet shorts""","""yeşil ıslak şort""",3647,32,,
966,condition1,colored,rectangular,picture_colored_rectangular,"""colored rectangular picture""","""renkli dikdörtgen resim""",picture,[0.97],"""rectangular colored picture""","""dikdörtgen renkli resim""",6591,33,,
966,condition1,small,round,earring_small_round,"""round small earring""","""yuvarlak küçük küpe""",earring,[0.95],"""small round earring""","""küçük yuvarlak küpe""",3455,34,,
966,condition1,glass,big,bottle_glass_big,"""big glass bottle""","""büyük cam şişe""",bottle,[0.01],"""glass big bottle""","""cam büyük şişe""",3856,35,,
966,condition1,long,blue,pencil_long_blue,"""long blue pencil""","""uzun mavi kalem""",pencil,[0.97],"""blue long pencil""","""mavi uzun kalem""",5232,36,,
966,condition1,straight,blond,hair_straight_blonde,"""straight blond hair""","""düz sarı saç""",hair,[0.99],"""blond straight hair""","""sarı düz saç""",44023,37,,
966,condition1,plastic,small,bottle_plastic_small,"""plastic small bottle""","""plastik küçük şişe""",bottle,[0.96],"""small plastic bottle""","""küçük plastik şişe""",3345,38,,
966,condition1,bearded,glasses-wearing,man2_bearded_glassed,"""glasses-wearing bearded man""","""gözlüklü sakallı adam""",man,[0.98],"""bearded glasses-wearing man""","""sakallı gözlüklü adam""",4040,39,,
966,condition1,metal,high,table_metal_high,"""high metal table""","""yüksek metal masa""",table,[0.01],"""metal high table""","""metal yüksek masa""",3608,40,,
966,condition1,big,round,earring_big_round,"""round big earring""","""yuvarlak büyük küpe""",earring,[0.98],"""big round earring""","""büyük yuvarlak küpe""",3952,41,,
966,condition1,red,matte,nails_red_matte,"""red matte nails""","""kırmızı mat oje""",nails,[0.03],"""matte red nails""","""mat kırmızı oje""",3464,42,,
966,condition1,old,bearded,man_old_bearded,"""bearded old man""","""sakallı yaşlı adam""",man,[0.99],"""old bearded man""","""yaşlı sakallı adam""",5750,43,,
966,condition1,bearded,hat-wearing,man2_bearded_hatted,"""bearded hat-wearing man""","""sakallı şapkalı adam""",man,[0.02],"""hat-wearing bearded man""","""şapkalı sakallı adam""",4808,44,,
966,condition1,metal,low,table_metal_low,"""low metal table""","""alçak metal masa""",table,[0.01],"""metal low table""","""metal alçak masa""",3144,45,,
966,condition1,curly,blond,hair_curly_blonde,"""blond curly hair""","""sarı kıvırcık saç""",hair,[0.98],"""curly blond hair""","""kıvırcık sarı saç""",4431,46,,
966,condition1,striped,red,frog_striped_red,"""striped red frog""","""çizgili kırmızı kurbağa""",frog,[0.98],"""red striped frog""","""kırmızı çizgili kurbağa""",3488,47,,
966,condition1,wooden,dirty,spoon_wooden_dirty,"""dirty wooden spoon""","""kirli tahta kaşık""",spoon,[0],"""wooden dirty spoon""","""tahta kirli kaşık""",3535,48,,
966,condition1,wooden,clean,spoon_wooden_clean,"""clean wooden spoon""","""temiz tahta kaşık""",spoon,[0.02],"""wooden clean spoon""","""tahta temiz kaşık""",4168,49,,
966,condition1,closed,cardboard,box_closed_cardboard,"""cardboard closed box""","""karton kapalı kutu""",box,[0.97],"""closed cardboard box""","""kapalı karton kutu""",3591,50,,
966,condition1,dry,red,shorts_dry_red,"""red dry shorts""","""kırmızı kuru şort""",shorts,[0.98],"""dry red shorts""","""kuru kırmızı şort""",3160,51,,
966,condition1,glass,small,bottle_glass_small,"""small glass bottle""","""küçük cam şişe""",bottle,[0.03],"""glass small bottle""","""cam küçük şişe""",3495,52,,
966,condition1,long,black,pencil_long_black,"""long black pencil""","""uzun siyah kalem""",pencil,[0.99],"""black long pencil""","""siyah uzun kalem""",6928,53,,
966,condition1,plastic,big,bottle_plastic_big,"""big plastic bottle""","""büyük plastik şişe""",bottle,[0.98],"""plastic big bottle""","""plastik büyük şişe""",3609,54,,
966,condition1,happy,fat,woman2_happy_fat,"""fat happy woman""","""şişman mutlu kadın""",woman,[0.99],"""happy fat woman""","""mutlu şişman kadın""",7352,55,,
966,condition1,open,wooden,box_open_wood,"""open wooden box""","""açık tahta kutu""",box,[0.02],"""wooden open box""","""tahta açık kutu""",4383,56,,
966,condition1,young,bearded,man_young_bearded,"""bearded young man""","""sakallı genç adam""",man,[0.02],"""young bearded man""","""genç sakallı adam""",3536,57,,
966,condition1,old,clean-shaven,man_old_cleanshaven,"""old clean-shaven man""","""yaşlı sakalsız adam""",man,[0.99],"""clean-shaven old man""","""sakalsız yaşlı adam""",5232,58,,
966,condition1,short,blue,pencil_short_blue,"""short blue pencil""","""kısa mavi kalem""",pencil,[0.97],"""blue short pencil""","""mavi kısa kalem""",2880,59,,
966,condition1,old,sad,woman_old_sad,"""sad old woman""","""mutsuz yaşlı kadın""",woman,[0.98],"""old sad woman""","""yaşlı mutsuz kadın""",6776,60,,
966,condition1,striped,green,frog_striped_green,"""green striped frog""","""yeşil çizgili kurbağa""",frog,[0.98],"""striped green frog""","""çizgili yeşil kurbağa""",3080,61,,
966,condition1,young,happy,woman_young_happy,"""young happy woman""","""genç mutlu kadın""",woman,[0.03],"""happy young woman""","""mutlu genç kadın""",3856,62,,
962,condition1,,,,,,beyaz,Beyaz,,,0,1,bot_check,
962,condition1,open,wooden,box_open_wood,"""wooden open box""","""tahta açık kutu""",box,[0.99],"""open wooden box""","""açık tahta kutu""",9864,3,,
962,condition1,closed,cardboard,box_closed_cardboard,"""cardboard closed box""","""karton kapalı kutu""",box,[0.99],"""closed cardboard box""","""kapalı karton kutu""",3993,4,,
962,condition1,happy,skinny,woman2_happy_skinny,"""skinny happy woman""","""zayıf mutlu kadın""",woman,[0.76],"""happy skinny woman""","""mutlu zayıf kadın""",17398,5,,
962,condition1,dry,red,shorts_dry_red,"""red dry shorts""","""kırmızı kuru şort""",shorts,[0.74],"""dry red shorts""","""kuru kırmızı şort""",3840,6,,
962,condition1,long,blue,pencil_long_blue,"""long blue pencil""","""uzun mavi kalem""",pencil,[0.5],"""blue long pencil""","""mavi uzun kalem""",4507,7,,
962,condition1,happy,fat,woman2_happy_fat,"""happy fat woman""","""mutlu şişman kadın""",woman,[0.49],"""fat happy woman""","""şişman mutlu kadın""",4590,8,,
962,condition1,spotted,green,frog_spotted_green,"""spotted green frog""","""benekli yeşil kurbağa""",frog,[0.49],"""green spotted frog""","""yeşil benekli kurbağa""",8173,9,,
962,condition1,black and white,square,picture_bw_square,"""black and white square picture""","""siyah beyaz kare resim""",picture,[0.21],"""square black and white picture""","""kare siyah beyaz resim""",5468,10,,
962,condition1,young,sad,woman_young_sad,"""young sad woman""","""genç mutsuz kadın""",woman,[0.84],"""sad young woman""","""mutsuz genç kadın""",5400,11,,
962,condition1,plastic,big,bottle_plastic_big,"""plastic big bottle""","""plastik büyük şişe""",bottle,[1],"""big plastic bottle""","""büyük plastik şişe""",5258,12,,
962,condition1,colored,rectangular,picture_colored_rectangular,"""colored rectangular picture""","""renkli dikdörtgen resim""",picture,[0.36],"""rectangular colored picture""","""dikdörtgen renkli resim""",3967,13,,
962,condition1,plastic,small,bottle_plastic_small,"""plastic small bottle""","""plastik küçük şişe""",bottle,[0.99],"""small plastic bottle""","""küçük plastik şişe""",3466,14,,
962,condition1,mustache-touting,hat-wearing,man2_mustached_hatted,"""hat-wearing mustache-touting man""","""şapkalı bıyıklı adam""",man,[0.5],"""mustache-touting hat-wearing man""","""bıyıklı şapkalı adam""",7916,15,,
962,condition1,wooden,low,table_wood_low,"""low wooden table""","""alçak tahta masa""",table,[0.29],"""wooden low table""","""tahta alçak masa""",6672,16,,
962,condition1,long,black,pencil_long_black,"""black long pencil""","""siyah uzun kalem""",pencil,[0.49],"""long black pencil""","""uzun siyah kalem""",3584,17,,
962,condition1,spotted,red,frog_spotted_red,"""red spotted frog""","""kırmızı benekli kurbağa""",frog,[0.48],"""spotted red frog""","""benekli kırmızı kurbağa""",2847,18,,
962,condition1,wooden,clean,spoon_wooden_clean,"""wooden clean spoon""","""tahta temiz kaşık""",spoon,[0.99],"""clean wooden spoon""","""temiz tahta kaşık""",7787,19,,
962,condition1,open,cardboard,box_open_cardboard,"""cardboard open box""","""karton açık kutu""",box,[0.97],"""open cardboard box""","""açık karton kutu""",3425,20,,
962,condition1,small,triangular,earring_small_triangular,"""triangular small earring""","""üçgen küçük küpe""",earring,[0.49],"""small triangular earring""","""küçük üçgen küpe""",4164,21,,
962,condition1,wooden,high,table_wood_high,"""wooden high table""","""tahta yüksek masa""",table,[0.98],"""high wooden table""","""yüksek tahta masa""",3616,22,,
962,condition1,old,bearded,man_old_bearded,"""bearded old man""","""sakallı yaşlı adam""",man,[0.01],"""old bearded man""","""yaşlı sakallı adam""",5217,23,,
962,condition1,straight,blond,hair_straight_blonde,"""straight blond hair""","""düz sarı saç""",hair,[0.2],"""blond straight hair""","""sarı düz saç""",6513,24,,
962,condition1,metal,high,table_metal_high,"""metal high table""","""metal yüksek masa""",table,[0.99],"""high metal table""","""yüksek metal masa""",3380,25,,
962,condition1,striped,red,frog_striped_red,"""striped red frog""","""çizgili kırmızı kurbağa""",frog,[0.49],"""red striped frog""","""kırmızı çizgili kurbağa""",2688,26,,
962,condition1,young,happy,woman_young_happy,"""happy young woman""","""mutlu genç kadın""",woman,[0.74],"""young happy woman""","""genç mutlu kadın""",5120,27,,
962,condition1,curly,brown,hair_curly_brown,"""brown curly hair""","""kahverengi kıvırcık saç""",hair,[0.8],"""curly brown hair""","""kıvırcık kahverengi saç""",14236,28,,
962,condition1,old,happy,woman_old_happy,"""old happy woman""","""yaşlı mutlu kadın""",woman,[0.48],"""happy old woman""","""mutlu yaşlı kadın""",3865,29,,
962,condition1,short,black,pencil_short_black,"""black short pencil""","""siyah kısa kalem""",pencil,[0.78],"""short black pencil""","""kısa siyah kalem""",6492,30,,
962,condition1,mustache-touting,glasses-wearing,man2_mustached_glassed,"""mustache-touting glasses-wearing man""","""bıyıklı gözlüklü adam""",man,[0.52],"""glasses-wearing mustache-touting man""","""gözlüklü bıyıklı adam""",4238,31,,
962,condition1,metal,low,table_metal_low,"""metal low table""","""metal alçak masa""",table,[0.99],"""low metal table""","""alçak metal masa""",3278,32,,
962,condition1,wet,green,shorts_wet_green,"""wet green shorts""","""ıslak yeşil şort""",shorts,[0.01],"""green wet shorts""","""yeşil ıslak şort""",6972,33,,
962,condition1,young,clean-shaven,man_young_cleanshaven,"""young clean-shaven man""","""genç sakalsız adam""",man,[0.85],"""clean-shaven young man""","""sakalsız genç adam""",3492,34,,
962,condition1,red,glossy,nails_red_glossy,"""glossy red nails""","""parlak kırmızı oje""",nails,[0.98],"""red glossy nails""","""kırmızı parlak oje""",3890,35,,
962,condition1,black,glossy,nails_black_glossy,"""black glossy nails""","""siyah parlak oje""",nails,[0.01],"""glossy black nails""","""parlak siyah oje""",6178,36,,
962,condition1,black and white,rectangular,picture_bw_rectangular,"""rectangular black and white picture""","""dikdörtgen siyah beyaz resim""",picture,[0.51],"""black and white rectangular picture""","""siyah beyaz dikdörtgen resim""",5641,37,,
962,condition1,metal,clean,spoon_metal_clean,"""clean metal spoon""","""temiz metal kaşık""",spoon,[0.03],"""metal clean spoon""","""metal temiz kaşık""",3787,38,,
962,condition1,black,matte,nails_black_matte,"""black matte nails""","""siyah mat oje""",nails,[0.98],"""matte black nails""","""mat siyah oje""",4561,39,,
962,condition1,old,sad,woman_old_sad,"""sad old woman""","""mutsuz yaşlı kadın""",woman,[0.22],"""old sad woman""","""yaşlı mutsuz kadın""",4609,40,,
962,condition1,wet,red,shorts_wet_red,"""red wet shorts""","""kırmızı ıslak şort""",shorts,[0.98],"""wet red shorts""","""ıslak kırmızı şort""",3714,41,,
962,condition1,sad,skinny,woman2_sad_skinny,"""sad skinny woman""","""mutsuz zayıf kadın""",woman,[0.46],"""skinny sad woman""","""zayıf mutsuz kadın""",7660,42,,
962,condition1,wooden,dirty,spoon_wooden_dirty,"""wooden dirty spoon""","""tahta kirli kaşık""",spoon,[0.97],"""dirty wooden spoon""","""kirli tahta kaşık""",3349,43,,
962,condition1,sad,fat,woman2_sad_fat,"""sad fat woman""","""mutsuz şişman kadın""",woman,[0.55],"""fat sad woman""","""şişman mutsuz kadın""",4121,44,,
962,condition1,straight,brown,hair_straight_brown,"""straight brown hair""","""düz kahverengi saç""",hair,[0.05],"""brown straight hair""","""kahverengi düz saç""",3325,45,,
962,condition1,short,blue,pencil_short_blue,"""short blue pencil""","""kısa mavi kalem""",pencil,[0.47],"""blue short pencil""","""mavi kısa kalem""",2792,46,,
962,condition1,young,bearded,man_young_bearded,"""young bearded man""","""genç sakallı adam""",man,[0.92],"""bearded young man""","""sakallı genç adam""",5073,47,,
962,condition1,glass,small,bottle_glass_small,"""glass small bottle""","""cam küçük şişe""",bottle,[0.99],"""small glass bottle""","""küçük cam şişe""",4342,48,,
962,condition1,metal,dirty,spoon_metal_dirty,"""dirty metal spoon""","""kirli metal kaşık""",spoon,[0],"""metal dirty spoon""","""metal kirli kaşık""",3259,49,,
962,condition1,big,round,earring_big_round,"""round big earring""","""yuvarlak büyük küpe""",earring,[0.99],"""big round earring""","""büyük yuvarlak küpe""",5621,50,,
962,condition1,closed,wooden,box_closed_wood,"""closed wooden box""","""kapalı tahta kutu""",box,[0.02],"""wooden closed box""","""tahta kapalı kutu""",4064,51,,
962,condition1,old,clean-shaven,man_old_cleanshaven,"""old clean-shaven man""","""yaşlı sakalsız adam""",man,[0.88],"""clean-shaven old man""","""sakalsız yaşlı adam""",3017,52,,
962,condition1,bearded,glasses-wearing,man2_bearded_glassed,"""bearded glasses-wearing man""","""sakallı gözlüklü adam""",man,[0.52],"""glasses-wearing bearded man""","""gözlüklü sakallı adam""",4617,53,,
962,condition1,bearded,hat-wearing,man2_bearded_hatted,"""hat-wearing bearded man""","""şapkalı sakallı adam""",man,[0.51],"""bearded hat-wearing man""","""sakallı şapkalı adam""",2374,54,,
962,condition1,glass,big,bottle_glass_big,"""glass big bottle""","""cam büyük şişe""",bottle,[0.98],"""big glass bottle""","""büyük cam şişe""",2515,55,,
962,condition1,big,triangular,earring_big_triangular,"""big triangular earring""","""büyük üçgen küpe""",earring,[0.04],"""triangular big earring""","""üçgen büyük küpe""",4841,56,,
962,condition1,striped,green,frog_striped_green,"""striped green frog""","""çizgili yeşil kurbağa""",frog,[0.47],"""green striped frog""","""yeşil çizgili kurbağa""",2527,57,,
962,condition1,dry,green,shorts_dry_green,"""green dry shorts""","""yeşil kuru şort""",shorts,[0.85],"""dry green shorts""","""kuru yeşil şort""",2777,58,,
962,condition1,small,round,earring_small_round,"""round small earring""","""yuvarlak küçük küpe""",earring,[0.88],"""small round earring""","""küçük yuvarlak küpe""",31663,59,,
962,condition1,colored,square,picture_colored_square,"""square colored picture""","""kare renkli resim""",picture,[0.52],"""colored square picture""","""renkli kare resim""",4190,60,,
962,condition1,curly,blond,hair_curly_blonde,"""blond curly hair""","""sarı kıvırcık saç""",hair,[0.82],"""curly blond hair""","""kıvırcık sarı saç""",5993,61,,
962,condition1,red,matte,nails_red_matte,"""red matte nails""","""kırmızı mat oje""",nails,[0.04],"""matte red nails""","""mat kırmızı oje""",3639,62,,
910,condition1,,,,,,beyaz,beyaz,,,0,1,bot_check,
910,condition1,black,matte,nails_black_matte,"""black matte nails""","""siyah mat oje""",nails,[0],"""matte black nails""","""mat siyah oje""",9927,3,,
910,condition1,small,triangular,earring_small_triangular,"""triangular small earring""","""üçgen küçük küpe""",earring,[1],"""small triangular earring""","""küçük üçgen küpe""",4042,4,,
910,condition1,sad,fat,woman2_sad_fat,"""fat sad woman""","""şişman mutsuz kadın""",woman,[0],"""sad fat woman""","""mutsuz şişman kadın""",3695,5,,
910,condition1,wooden,high,table_wood_high,"""wooden high table""","""tahta yüksek masa""",table,[1],"""high wooden table""","""yüksek tahta masa""",2623,6,,
910,condition1,long,black,pencil_long_black,"""long black pencil""","""uzun siyah kalem""",pencil,[0],"""black long pencil""","""siyah uzun kalem""",3062,7,,
910,condition1,dry,red,shorts_dry_red,"""dry red shorts""","""kuru kırmızı şort""",shorts,[0.05],"""red dry shorts""","""kırmızı kuru şort""",5095,8,,
910,condition1,old,bearded,man_old_bearded,"""bearded old man""","""sakallı yaşlı adam""",man,[0],"""old bearded man""","""yaşlı sakallı adam""",3505,9,,
910,condition1,young,clean-shaven,man_young_cleanshaven,"""clean-shaven young man""","""sakalsız genç adam""",man,[0],"""young clean-shaven man""","""genç sakalsız adam""",2256,10,,
910,condition1,old,sad,woman_old_sad,"""sad old woman""","""mutsuz yaşlı kadın""",woman,[0],"""old sad woman""","""yaşlı mutsuz kadın""",3312,11,,
910,condition1,big,triangular,earring_big_triangular,"""big triangular earring""","""büyük üçgen küpe""",earring,[0],"""triangular big earring""","""üçgen büyük küpe""",4160,12,,
910,condition1,black,glossy,nails_black_glossy,"""glossy black nails""","""parlak siyah oje""",nails,[1],"""black glossy nails""","""siyah parlak oje""",4754,13,,
910,condition1,young,happy,woman_young_happy,"""young happy woman""","""genç mutlu kadın""",woman,[1],"""happy young woman""","""mutlu genç kadın""",2688,14,,
910,condition1,open,wooden,box_open_wood,"""wooden open box""","""tahta açık kutu""",box,[1],"""open wooden box""","""açık tahta kutu""",2568,15,,
910,condition1,red,matte,nails_red_matte,"""red matte nails""","""kırmızı mat oje""",nails,[0],"""matte red nails""","""mat kırmızı oje""",5352,16,,
910,condition1,closed,wooden,box_closed_wood,"""wooden closed box""","""tahta kapalı kutu""",box,[1],"""closed wooden box""","""kapalı tahta kutu""",2223,17,,
910,condition1,happy,skinny,woman2_happy_skinny,"""happy skinny woman""","""mutlu zayıf kadın""",woman,[1],"""skinny happy woman""","""zayıf mutlu kadın""",2992,18,,
910,condition1,black and white,square,picture_bw_square,"""square black and white picture""","""kare siyah beyaz resim""",picture,[1],"""black and white square picture""","""siyah beyaz kare resim""",5944,19,,
910,condition1,curly,brown,hair_curly_brown,"""brown curly hair""","""kahverengi kıvırcık saç""",hair,[0],"""curly brown hair""","""kıvırcık kahverengi saç""",2647,20,,
910,condition1,sad,skinny,woman2_sad_skinny,"""skinny sad woman""","""zayıf mutsuz kadın""",woman,[1],"""sad skinny woman""","""mutsuz zayıf kadın""",3604,21,,
910,condition1,plastic,small,bottle_plastic_small,"""small plastic bottle""","""küçük plastik şişe""",bottle,[1],"""plastic small bottle""","""plastik küçük şişe""",3588,22,,
910,condition1,spotted,green,frog_spotted_green,"""spotted green frog""","""benekli yeşil kurbağa""",frog,[0],"""green spotted frog""","""yeşil benekli kurbağa""",4777,23,,
910,condition1,happy,fat,woman2_happy_fat,"""fat happy woman""","""şişman mutlu kadın""",woman,[1],"""happy fat woman""","""mutlu şişman kadın""",3382,24,,
910,condition1,metal,high,table_metal_high,"""metal high table""","""metal yüksek masa""",table,[1],"""high metal table""","""yüksek metal masa""",3129,25,,
910,condition1,wooden,low,table_wood_low,"""low wooden table""","""alçak tahta masa""",table,[0],"""wooden low table""","""tahta alçak masa""",2872,26,,
910,condition1,metal,dirty,spoon_metal_dirty,"""metal dirty spoon""","""metal kirli kaşık""",spoon,[1],"""dirty metal spoon""","""kirli metal kaşık""",2938,27,,
910,condition1,closed,cardboard,box_closed_cardboard,"""closed cardboard box""","""kapalı karton kutu""",box,[0],"""cardboard closed box""","""karton kapalı kutu""",3096,28,,
910,condition1,curly,blond,hair_curly_blonde,"""blond curly hair""","""sarı kıvırcık saç""",hair,[0],"""curly blond hair""","""kıvırcık sarı saç""",3902,29,,
910,condition1,striped,red,frog_striped_red,"""striped red frog""","""çizgili kırmızı kurbağa""",frog,[1],"""red striped frog""","""kırmızı çizgili kurbağa""",2711,30,,
910,condition1,red,glossy,nails_red_glossy,"""red glossy nails""","""kırmızı parlak oje""",nails,[0],"""glossy red nails""","""parlak kırmızı oje""",3696,31,,
910,condition1,big,round,earring_big_round,"""round big earring""","""yuvarlak büyük küpe""",earring,[1],"""big round earring""","""büyük yuvarlak küpe""",2605,32,,
910,condition1,metal,clean,spoon_metal_clean,"""clean metal spoon""","""temiz metal kaşık""",spoon,[0],"""metal clean spoon""","""metal temiz kaşık""",2639,33,,
910,condition1,mustache-touting,hat-wearing,man2_mustached_hatted,"""mustache-touting hat-wearing man""","""bıyıklı şapkalı adam""",man,[0.97],"""hat-wearing mustache-touting man""","""şapkalı bıyıklı adam""",6056,34,,
910,condition1,young,sad,woman_young_sad,"""young sad woman""","""genç mutsuz kadın""",woman,[1],"""sad young woman""","""mutsuz genç kadın""",2399,35,,
910,condition1,glass,big,bottle_glass_big,"""glass big bottle""","""cam büyük şişe""",bottle,[0.97],"""big glass bottle""","""büyük cam şişe""",3471,36,,
910,condition1,old,clean-shaven,man_old_cleanshaven,"""old clean-shaven man""","""yaşlı sakalsız adam""",man,[1],"""clean-shaven old man""","""sakalsız yaşlı adam""",2767,37,,
910,condition1,spotted,red,frog_spotted_red,"""spotted red frog""","""benekli kırmızı kurbağa""",frog,[0],"""red spotted frog""","""kırmızı benekli kurbağa""",3301,38,,
910,condition1,black and white,rectangular,picture_bw_rectangular,"""black and white rectangular picture""","""siyah beyaz dikdörtgen resim""",picture,[0],"""rectangular black and white picture""","""dikdörtgen siyah beyaz resim""",5974,39,,
910,condition1,short,black,pencil_short_black,"""short black pencil""","""kısa siyah kalem""",pencil,[1],"""black short pencil""","""siyah kısa kalem""",5561,40,,
910,condition1,wooden,dirty,spoon_wooden_dirty,"""dirty wooden spoon""","""kirli tahta kaşık""",spoon,[0],"""wooden dirty spoon""","""tahta kirli kaşık""",3278,41,,
910,condition1,wooden,clean,spoon_wooden_clean,"""wooden clean spoon""","""tahta temiz kaşık""",spoon,[1],"""clean wooden spoon""","""temiz tahta kaşık""",3394,42,,
910,condition1,bearded,hat-wearing,man2_bearded_hatted,"""bearded hat-wearing man""","""sakallı şapkalı adam""",man,[1],"""hat-wearing bearded man""","""şapkalı sakallı adam""",3599,43,,
910,condition1,small,round,earring_small_round,"""small round earring""","""küçük yuvarlak küpe""",earring,[0],"""round small earring""","""yuvarlak küçük küpe""",3839,44,,
910,condition1,straight,brown,hair_straight_brown,"""brown straight hair""","""kahverengi düz saç""",hair,[0],"""straight brown hair""","""düz kahverengi saç""",3451,45,,
910,condition1,plastic,big,bottle_plastic_big,"""big plastic bottle""","""büyük plastik şişe""",bottle,[0],"""plastic big bottle""","""plastik büyük şişe""",3919,46,,
910,condition1,wet,red,shorts_wet_red,"""wet red shorts""","""ıslak kırmızı şort""",shorts,[0],"""red wet shorts""","""kırmızı ıslak şort""",5856,47,,
910,condition1,old,happy,woman_old_happy,"""old happy woman""","""yaşlı mutlu kadın""",woman,[1],"""happy old woman""","""mutlu yaşlı kadın""",2112,48,,
910,condition1,wet,green,shorts_wet_green,"""green wet shorts""","""yeşil ıslak şort""",shorts,[1],"""wet green shorts""","""ıslak yeşil şort""",3567,49,,
910,condition1,colored,rectangular,picture_colored_rectangular,"""rectangular colored picture""","""dikdörtgen renkli resim""",picture,[1],"""colored rectangular picture""","""renkli dikdörtgen resim""",4514,50,,
910,condition1,young,bearded,man_young_bearded,"""bearded young man""","""sakallı genç adam""",man,[0],"""young bearded man""","""genç sakallı adam""",3639,51,,
910,condition1,mustache-touting,glasses-wearing,man2_mustached_glassed,"""mustache-touting glasses-wearing man""","""bıyıklı gözlüklü adam""",man,[1],"""glasses-wearing mustache-touting man""","""gözlüklü bıyıklı adam""",6499,52,,
910,condition1,glass,small,bottle_glass_small,"""small glass bottle""","""küçük cam şişe""",bottle,[0],"""glass small bottle""","""cam küçük şişe""",2573,53,,
910,condition1,short,blue,pencil_short_blue,"""short blue pencil""","""kısa mavi kalem""",pencil,[1],"""blue short pencil""","""mavi kısa kalem""",5945,54,,
910,condition1,dry,green,shorts_dry_green,"""dry green shorts""","""kuru yeşil şort""",shorts,[0],"""green dry shorts""","""yeşil kuru şort""",5170,55,,
910,condition1,metal,low,table_metal_low,"""metal low table""","""metal alçak masa""",table,[1],"""low metal table""","""alçak metal masa""",2172,56,,
910,condition1,straight,blond,hair_straight_blonde,"""straight blond hair""","""düz sarı saç""",hair,[0],"""blond straight hair""","""sarı düz saç""",2956,57,,
910,condition1,long,blue,pencil_long_blue,"""blue long pencil""","""mavi uzun kalem""",pencil,[0],"""long blue pencil""","""uzun mavi kalem""",3701,58,,
